Modified Element,Change action,Does the change introduce 1s?,Is a throwing event affected?,Is a catch event affected?,Is communication affected?,Critic element?,Is the previous event triggered by the modified microservice?,Adaptation rule
1,1,0,0,1,1,0,0,1001
1,1,0,0,1,1,0,1,1001
0,1,1,0,0,0,0,0,0
0,1,1,0,0,0,0,1,0
1,1,1,0,0,0,0,0,0
1,1,1,0,0,0,0,1,0
0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,1,0
1,1,0,0,0,0,0,0,0
1,1,0,0,0,0,0,1,0
2,1,0,0,0,0,1,0,0
3,1,1,0,0,0,0,1,0
0,2,0,0,0,0,1,0,0
0,2,0,0,0,0,1,1,0
1,2,0,0,0,0,1,0,0
1,2,0,0,0,0,1,1,0
0,2,0,0,0,0,0,0,0
0,2,0,0,0,0,0,1,0
1,2,0,0,0,0,0,0,0
1,2,0,0,0,0,0,1,0
0,2,0,0,0,0,1,0,0
0,2,0,0,0,0,1,1,0
1,2,0,0,0,0,1,0,0
1,2,0,0,0,0,1,1,0
0,2,0,0,0,0,0,0,0
0,2,0,0,0,0,0,1,0
1,2,0,0,0,0,0,0,0
1,2,0,0,0,0,0,1,0
0,2,0,0,0,0,1,0,0
0,2,0,0,0,0,1,1,0
1,2,0,0,0,0,1,0,0
1,2,0,0,0,0,1,1,0
0,2,0,0,0,0,0,0,0
0,2,0,0,0,0,0,1,0
1,2,0,0,0,0,0,0,0
1,2,0,0,0,0,0,1,0
0,2,1,0,0,0,1,0,0
0,2,1,0,0,0,1,1,0
1,2,1,0,0,0,1,0,0
1,2,1,0,0,0,1,1,0
0,2,1,0,0,0,0,0,0
0,2,1,0,0,0,0,1,0
1,2,1,0,0,0,0,0,0
1,2,1,0,0,0,0,1,0
0,2,1,0,0,0,1,0,0
0,2,1,0,0,0,1,1,0
1,2,1,0,0,0,1,0,0
1,2,1,0,0,0,1,1,0
0,2,1,0,0,0,0,0,0
0,2,1,0,0,0,0,1,0
1,2,1,0,0,0,0,0,0
1,2,1,0,0,0,0,1,0
0,2,1,0,0,0,1,0,0
0,2,1,0,0,0,1,1,0
1,2,1,0,0,0,1,0,0
1,2,1,0,0,0,1,1,0
0,2,1,0,0,0,0,0,0
0,2,1,0,0,0,0,1,0
1,2,1,0,0,0,0,0,0
1,2,1,0,0,0,0,1,0
2,2,0,0,0,0,1,0,0
3,2,0,0,0,0,1,0,0
3,2,0,0,0,0,1,1,0
2,2,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0
3,2,0,0,0,0,0,1,0
2,2,0,0,0,0,1,0,0
3,2,0,0,0,0,1,0,0
3,2,0,0,0,0,1,1,0
2,2,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0
3,2,0,0,0,0,0,1,0
2,2,0,0,0,0,1,0,0
3,2,0,0,0,0,1,0,0
3,2,0,0,0,0,1,1,0
2,2,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0
3,2,0,0,0,0,0,1,0
2,2,1,0,1,1,1,0,17
3,2,1,0,1,1,1,0,17
3,2,1,0,1,1,1,1,17
2,2,1,0,1,1,0,0,1701
3,2,1,0,1,1,0,0,1701
3,2,1,0,1,1,0,1,1701
2,2,1,0,0,0,1,0,0
3,2,1,0,0,0,1,0,0
3,2,1,0,0,0,1,1,0
2,2,1,0,0,0,0,0,0
3,2,1,0,0,0,0,0,0
3,2,1,0,0,0,0,1,0
2,2,1,0,1,1,1,0,17
3,2,1,0,1,1,1,0,17
2,2,1,0,1,1,0,0,1701
3,2,1,0,1,1,0,0,1701
3,2,1,0,1,1,0,1,1701
2,2,1,0,0,0,1,0,0
3,2,1,0,0,0,1,0,0
3,2,1,0,0,0,1,1,0
2,2,1,0,0,0,0,0,0
3,2,1,0,0,0,0,0,0
3,2,1,0,0,0,0,1,0
2,2,1,0,1,1,1,0,17
3,2,1,0,1,1,1,1,17
3,2,1,0,1,1,0,0,1701
3,2,1,0,1,1,0,1,1701
2,2,1,0,0,0,1,0,0
3,2,1,0,0,0,1,0,0
3,2,1,0,0,0,1,1,0
2,2,1,0,0,0,0,0,0
3,2,1,0,0,0,0,0,0
3,2,1,0,0,0,0,1,0
2,1,0,0,1,1,1,0,14
3,1,0,0,1,1,1,0,14
3,1,0,0,1,1,0,0,1401
3,1,0,0,1,1,0,1,1401
2,1,0,0,1,1,0,0,1401
